Date,Price
9/23/2020,10246.19
9/24/2020,10760.07
9/25/2020,10692.72
9/26/2020,10750.72
9/27/2020,10775.27
9/28/2020,10709.65
9/29/2020,10844.64
9/30/2020,10784.49
10/1/2020,10619.45
10/2/2020,10575.98
10/3/2020,10549.33
10/4/2020,10669.58
10/5/2020,10793.34
10/6/2020,10604.41
10/7/2020,10668.97
10/8/2020,10915.69
10/9/2020,11064.46
10/10/2020,11296.36
10/11/2020,11384.18
10/12/2020,11555.36
10/13/2020,11425.9
10/14/2020,11429.51
10/15/2020,11495.35
10/16/2020,11322.12
10/17/2020,11358.1
10/18/2020,11483.36
10/19/2020,11742.04
10/20/2020,11916.34
10/21/2020,12823.69
10/22/2020,12965.89
10/23/2020,12931.54
10/24/2020,13108.06
10/25/2020,13031.17
10/26/2020,13075.25
10/27/2020,13654.22
10/28/2020,13271.29
10/29/2020,13437.88
10/30/2020,13546.52
10/31/2020,13780.99
11/1/2020,13737.11
11/2/2020,13550.49
11/3/2020,13950.3
11/4/2020,14133.71
11/5/2020,15579.85
11/6/2020,15565.88
11/7/2020,14833.75
11/8/2020,15479.57
11/9/2020,15332.32
11/10/2020,15290.9
11/11/2020,15701.34
11/12/2020,16276.34
11/13/2020,16317.81
11/14/2020,16068.14
11/15/2020,15955.59
11/16/2020,16716.11
11/17/2020,17645.41
11/18/2020,17804.01
11/19/2020,17817.09
11/20/2020,18621.31
11/21/2020,18642.23
11/22/2020,18370
11/23/2020,18364.12
11/24/2020,19107.46
11/25/2020,18732.12
11/26/2020,17150.62
11/27/2020,17108.4
11/28/2020,17717.42
11/29/2020,18177.48
11/30/2020,19625.84
12/1/2020,18803
12/2/2020,19201.09
12/3/2020,19445.4
12/4/2020,18699.77
12/5/2020,19154.23
12/6/2020,19345.12
12/7/2020,19191.63
12/8/2020,18321.14
12/9/2020,18553.92
12/10/2020,18264.99
12/11/2020,18058.9
12/12/2020,18803.66
12/13/2020,19142.38
12/14/2020,19246.64
12/15/2020,19417.08
12/16/2020,21310.6
12/17/2020,22805.16
12/18/2020,23137.96
12/19/2020,23869.83
12/20/2020,23477.3
12/21/2020,22803.08
12/22/2020,23783.03
12/23/2020,23241.34
12/24/2020,23735.95
12/25/2020,24664.79
12/26/2020,26437.04
12/27/2020,26272.29
12/28/2020,27084.81
12/29/2020,27362.44
12/30/2020,28840.95
12/31/2020,29001.72
1/1/2021,29374.15
1/2/2021,32127.27
1/3/2021,32782.02
1/4/2021,31971.91
1/5/2021,33992.43
1/6/2021,36824.36
1/7/2021,39371.04
1/8/2021,40797.61
1/9/2021,40254.55
1/10/2021,38356.44
1/11/2021,35566.66
1/12/2021,33922.96
1/13/2021,37316.36
1/14/2021,39187.33
1/15/2021,36825.37
1/16/2021,36178.14
1/17/2021,35791.28
1/18/2021,36630.08
1/19/2021,36069.81
1/20/2021,35547.75
1/21/2021,30825.7
1/22/2021,33005.76
1/23/2021,32067.64
